stholes-5810,1.40,16922,23645
stholes-5810,1.05,3699,3885
stholes-5810,22.58,970,42
stholes-5810,1.70,77,45
stholes-5810,1.01,152151,150733
stholes-5810,1.02,6522,6633
stholes-5810,2.71,718,264
stholes-5810,2.54,2958,7527
stholes-5810,1.12,13255,14869
stholes-5810,1.29,3580,2769
stholes-5810,1.46,122,83
stholes-5810,5.92,5796,979
stholes-5810,1.07,47256,50664
stholes-5810,1.88,474,251
stholes-5810,3.06,357,116
stholes-5810,3.15,505,1592
stholes-5810,43.54,12,565
stholes-5810,1.05,118709,124395
stholes-5810,3.98,82,329
stholes-5810,1.32,388,511
stholes-5810,1.00,577190,577427
stholes-5810,1.22,157509,191967
stholes-5810,1.25,11,14
stholes-5810,1.35,4256,5752
stholes-5810,1.00,4,4
stholes-5810,1.01,38899,38451
stholes-5810,1.00,566696,568006
stholes-5810,99.42,3976,39
stholes-5810,1.05,121532,115998
stholes-5810,7.90,157,19
stholes-5810,1.00,152469,152702
stholes-5810,3.00,77,25
stholes-5810,1.00,180060,179236
stholes-5810,1.02,134515,132066
stholes-5810,1.11,8542,7686
stholes-5810,614.25,2456,3
stholes-5810,10.62,12,137
stholes-5810,5.57,767,137
stholes-5810,1.18,150776,127678
stholes-5810,2.72,415,152
stholes-5810,3.58,357,99
stholes-5810,1.00,2,2
stholes-5810,8.00,55,6
stholes-5810,3.09,6931,2242
stholes-5810,7.00,776,110
stholes-5810,1.42,7476,10612
stholes-5810,1.17,2664,3119
stholes-5810,1.00,521182,523305
stholes-5810,2.18,23,10
stholes-5810,1.10,20990,23051
stholes-5810,1.11,125155,112886
stholes-5810,1.77,42,75
stholes-5810,1.02,66016,67123
stholes-5810,1.01,250165,251743
stholes-5810,1.06,52044,54950
stholes-5810,1.01,94601,95811
stholes-5810,1.19,24,20
stholes-5810,1.00,5779,5790
stholes-5810,2.00,3,1
stholes-5810,3.90,9,38
stholes-5810,1.19,1723,1445
stholes-5810,1.65,4038,6673
stholes-5810,1.63,297,182
stholes-5810,8.17,5,48
stholes-5810,1.00,460908,461179
stholes-5810,1.71,34715,20340
stholes-5810,8.67,2,25
stholes-5810,1.39,230,320
stholes-5810,1.22,4733,3895
stholes-5810,1.01,273507,274883
stholes-5810,1.96,3570,6999
stholes-5810,5.96,75,452
stholes-5810,1.13,8151,9195
stholes-5810,1.02,5866,5743
stholes-5810,2.78,529,1470
stholes-5810,1.20,5,4
stholes-5810,1.53,3686,2416
stholes-5810,1.95,4861,2496
stholes-5810,51.12,817,15
stholes-5810,2.23,1722,3837
stholes-5810,1.01,26692,26542
stholes-5810,1.17,4620,3956
stholes-5810,2.73,675,1845
stholes-5810,1.00,1,1
stholes-5810,1.00,290971,292235
stholes-5810,1.00,553817,555166
stholes-5810,1.50,2017,3031
stholes-5810,2.57,267,687
stholes-5810,1.00,201030,200892
stholes-5810,3.71,1410,379
stholes-5810,1.06,32324,34219
stholes-5810,1.00,400934,401104
stholes-5810,1.06,60023,56567
stholes-5810,2.73,367,134
stholes-5810,1.58,2891,4555
stholes-5810,1.15,5527,6332
stholes-5810,3.19,20,66
stholes-5810,1.50,2654,3970
stholes-5810,1.02,251953,257579
stholes-5810,1.40,425,304
stholes-5810,1.84,272,501
stholes-5810,1.00,244446,243821
stholes-5810,2.48,51,20
stholes-5810,1.01,299442,300943
stholes-5810,1.93,2419,1256
stholes-5810,1.55,2372,1527
stholes-5810,1.03,80436,82458
stholes-5810,1.11,55373,61269
stholes-5810,1.00,513983,514457
stholes-5810,1.03,224185,230097
stholes-5810,1.36,304,223
stholes-5810,1.20,82,99
stholes-5810,1.10,133982,146916
stholes-5810,5.00,44,8
stholes-5810,1.27,32,41
stholes-5810,11.00,12,142
stholes-5810,1.33,15,11
stholes-5810,1.13,48642,43091
stholes-5810,1.27,17838,14069
stholes-5810,1.01,492282,495231
stholes-5810,1.90,1230,2343
stholes-5810,2.23,692,1546
stholes-5810,1.00,34285,34384
stholes-5810,1.00,507502,508835
stholes-5810,13.33,39,2
stholes-5810,781.00,7028,8
stholes-5810,1.00,114245,114429
stholes-5810,2.26,78,34
stholes-5810,1.03,99557,102343
stholes-5810,1.02,107790,106179
stholes-5810,1.00,311809,312364
stholes-5810,1.00,268378,269678
stholes-5810,1.01,168159,169538
stholes-5810,1.80,739,1334
stholes-5810,17.80,88,4
stholes-5810,1.01,82836,83322
stholes-5810,1.10,717,649
stholes-5810,1.23,159,196
stholes-5810,1.01,531863,535617
stholes-5810,15.38,199,12
stholes-5810,3.06,125,384
stholes-5810,1.04,27267,28372
stholes-5810,1.20,5053,6076
stholes-5810,1.18,10242,12066
